id_ocorrencia,local_ocorrencia,latitude_ocorrencia,longitude_ocorrencia,data_ocorrencia,hora_ocorrencia,presen_agen_segur_ocorrencia,qtd_morto_civil_ocorrencia,qtd_morto_agen_segur_ocorrencia,qtd_ferido_civil_ocorrencia,qtd_ferido_agen_segur_ocorrencia,fonte_ocorrencia,estado_id,cidade_id,nome_cidade,cod_ibge_cidade,gentilico_cidade,populacao_cidade,area_cidade,densidade_demo_cidade,nome_estado,uf_estado,cod_ibge_estado
122,"Av. Brás de Pina, 2830 - Vista Alegre, Rio de Janeiro - RJ, Brasil",-22.8281364441,-43.3192825317,2016-07-07,0:35:00,0,0,0,0,0,0,19,3661,Rio de Janeiro,3304557,carioca,6320446,119746,5.27,Rio de Janeiro,RJ,33
123,"Praça Seca, Rio de Janeiro - RJ, Brasil",-22.8969192505,-43.3516807556,2016-07-07,0:43:00,1,0,0,0,0,0,19,3661,Rio de Janeiro,3304557,carioca,6320446,119746,5.27,Rio de Janeiro,RJ,33
124,"Rua Japoara - Ricardo de Albuquerque, Rio de Janeiro - RJ, Brasil",-22.8405761719,-43.4050102234,2016-07-06,23:30:00,1,1,0,0,0,0,19,3661,Rio de Janeiro,3304557,carioca,6320446,119746,5.27,Rio de Janeiro,RJ,33
125,"Rua H Isaac Zaidman - Pavuna, Rio de Janeiro - RJ, Brasil",-22.8193492889,-43.3650283813,2016-07-07,0:20:00,1,0,0,0,0,0,19,3661,Rio de Janeiro,3304557,carioca,6320446,119746,5.27,Rio de Janeiro,RJ,33
126,"Largo da Carioca - Centro, Rio de Janeiro - RJ, Brasil",-22.9064922333,-43.1776351929,2016-07-06,18:10:00,0,1,0,0,0,0,19,3661,Rio de Janeiro,3304557,carioca,6320446,119746,5.27,Rio de Janeiro,RJ,33
129,"Rua Magalhães Castro - Riachuelo, Rio de Janeiro - RJ, Brasil",-22.8979244232,-43.2567100525,2016-07-05,23:15:00,0,0,0,0,0,0,19,3661,Rio de Janeiro,3304557,carioca,6320446,119746,5.27,Rio de Janeiro,RJ,33
132,"Rua Iguaba Grande - Pavuna, Rio de Janeiro - RJ, Brasil",-22.8167095184,-43.3751106262,2016-07-07,9:00:00,0,0,0,0,0,0,19,3661,Rio de Janeiro,3304557,carioca,6320446,119746,5.27,Rio de Janeiro,RJ,33
133,"Maré, Rio de Janeiro - RJ, Brasil",-22.8574962616,-43.2430152893,2016-07-07,9:54:00,1,0,0,0,0,0,19,3661,Rio de Janeiro,3304557,carioca,6320446,119746,5.27,Rio de Janeiro,RJ,33
134,"Rua do Cajá - Penha, Rio de Janeiro - RJ, Brasil",-22.8442554474,-43.2876205444,2016-07-07,10:31:00,1,0,0,0,0,0,19,3661,Rio de Janeiro,3304557,carioca,6320446,119746,5.27,Rio de Janeiro,RJ,33
135,"Praça Seca, Rio de Janeiro - RJ, Brasil",-22.8969192505,-43.3516807556,2016-07-07,10:36:00,0,0,0,0,0,0,19,3661,Rio de Janeiro,3304557,carioca,6320446,119746,5.27,Rio de Janeiro,RJ,33
137,"Rua Joaquim de Queiroz - Complexo do Alemão, Rio de Janeiro - RJ, Brasil",-22.8594436646,-43.2763748169,2016-07-07,10:40:00,0,0,0,0,0,0,19,3661,Rio de Janeiro,3304557,carioca,6320446,119746,5.27,Rio de Janeiro,RJ,33
138,"Rua Guaiúba - Acari, Rio de Janeiro - RJ, Brasil",-22.8232803345,-43.345500946,2016-07-07,10:38:00,0,0,0,0,0,0,19,3661,Rio de Janeiro,3304557,carioca,6320446,119746,5.27,Rio de Janeiro,RJ,33
139,"Estrada do Camboatá - Guadalupe, Rio de Janeiro - RJ, Brasil",-22.8340682983,-43.3795166016,2016-07-07,10:43:00,0,0,0,0,0,0,19,3661,Rio de Janeiro,3304557,carioca,6320446,119746,5.27,Rio de Janeiro,RJ,33
141,"Av. Antares - Santa Cruz, Rio de Janeiro - RJ, Brasil",-22.9217586517,-43.6634178162,2016-07-07,11:15:00,0,0,0,0,0,0,19,3661,Rio de Janeiro,3304557,carioca,6320446,119746,5.27,Rio de Janeiro,RJ,33
144,"Rua Lins de Vasconcelos - Lins de Vasconcelos, Rio de Janeiro - State of Rio de Janeiro, Brazil",-22.9085521698,-43.2797622681,2016-07-07,11:22:00,0,0,0,0,0,0,19,3661,Rio de Janeiro,3304557,carioca,6320446,119746,5.27,Rio de Janeiro,RJ,33
146,"Rua Lins De Vasconcelos próximo ao 640 - Lins de Vasconcelos, Rio de Janeiro - RJ, Brasil",-22.9115161896,-43.2857322693,2016-07-07,12:48:00,0,0,0,0,0,0,19,3661,Rio de Janeiro,3304557,carioca,6320446,119746,5.27,Rio de Janeiro,RJ,33
150,"Rua Eden - Lins de Vasconcelos, Rio de Janeiro - RJ, Brasil",-22.9120635986,-43.2875099182,2016-07-07,14:01:00,0,0,0,0,0,0,19,3661,Rio de Janeiro,3304557,carioca,6320446,119746,5.27,Rio de Janeiro,RJ,33
151,"Rua Hannibal Porto próximo ao 601 - Irajá, Rio de Janeiro - RJ, Brasil",-22.8387565613,-43.324180603,2016-07-07,14:30:00,1,0,0,0,0,0,19,3661,Rio de Janeiro,3304557,carioca,6320446,119746,5.27,Rio de Janeiro,RJ,33
