,timezone,tweet,hashtags,photos,retweets_count,replies_count,video,place
69,-3.0,"#notapúblicacndh |em nota pública, cndh recomenda banimento do caveirão aéreo| veja a nota na íntegra:  https://bit.ly/2pmi36r  #direitoshumanos #participaçãopopular pic.twitter.com/vcf33ifgsb","['#notapúblicacndh', '#direitoshumanos', '#participaçãopopular']",['https://pbs.twimg.com/media/DnUbbMKWsAAD33P.jpg'],0.0,0.0,0.0,
70,-3.0,o caveirao aéreo blindado da core acaba de passar voando baixo no centro rumo a alguma operação,[],[],0.0,0.0,0.0,
71,-3.0,"eu moro em asfalto relativamente perto de dois morros e tem helicóptero em cima da minha casa total mirando pro morro. cara, isso é desumano, a galera que mora lá estão dormindo, ou tentando, na mira de caveirao aéreo. se eu to sentindo medo imagina eles. #pmassassina",['#pmassassina'],[],0.0,0.0,0.0,
72,-3.0,caveirao aéreo uma hora dessa 🤦‍♀️,[],[],0.0,0.0,0.0,
73,-3.0,"12h de operação no alemão. pm, civil e exército. blindados, caveirão aéreo e muito terror. os moradores gritaram, pediram socorro.",[],[],1.0,0.0,0.0,
74,-3.0,moradores do complexo do lins denunciam 'caveirão aéreo' atirando de cima para baixo  https://glo.bo/2ldmwgq ,[],[],5.0,25.0,0.0,
75,-3.0,"vocês não sabem oque é dormir com medo dos tiros, vcs não  sabem oque é olhar da sua janela e  ver caveirão aéreo  com armas gigantes pra fora, vocês não  sabem oque é sair pra estudar  e  ser parado na porta da sua escola por viatura revistando geral até criança!!",[],[],0.0,1.0,0.0,
76,-3.0,"o marcos que foi morto na maré via caveirão aéreo tem a mesma idade que a minha filha, 14 anos. hoje e para sempre haverá uma mãe que chorará essa morte até seus últimos dias!! o estado genocida mata os filhos e...  https://www.facebook.com/100005222851187/posts/850933921757362/ …",[],[],0.0,0.0,0.0,
77,-3.0,caverão aéreo. no início dos anos 2000 perguntaram às crianças das favelas do que elas tinham medo. resposta: do caveirão. agora o monstro que aterroriza as crianças das favelas ganhou asas. #paremdenosmatar,['#paremdenosmatar'],[],0.0,0.0,0.0,
78,-3.0,"caveirão aéreo não é novidade, não é de hoje, só a política do confronto que é a mesma de sempre  http://g1.globo.com/fantastico/noticia/2013/05/imagens-mostram-perseguicao-e-cacada-ao-traficante-matematico.html …",[],[],0.0,0.0,0.0,
79,-3.0,"caveirão aéreo, maluco  https://twitter.com/renatasouzario/status/1009451026867539970 …",[],[],0.0,0.0,0.0,
80,-3.0,"""nossa, o caveirão aéreo (está) dando muito tiro. meu deus, moro perto do colégio. as crianças bricavam na quadra e, quando ouviram, foi muita gritaria. que deus proteja elas"", ""estava na ciclovia com minha filha de 10 meses. gente, que absurdo, saí correndo no desespero"".  https://twitter.com/jornalextra/status/1009603024803848192 …",[],[],7.0,0.0,0.0,
81,-3.0,o que aconteceu hoje é só mais um capítulo do estado de exceção em que  estamos mergulhados. necropolítica com apoio de caveirão aéreo.,[],[],0.0,0.0,0.0,
82,-3.0,um caveirão aéreo. tiros vindo de um helicóptero. uma criança ferida. um adolescente de 14 anos alvejado na barriga. seis mortos. morar na favela da maré hoje é ser tratado como um inimigo ser abatido. como alvo. #moradornãoéalvo https://odia.ig.com.br/rio-de-janeiro/2018/06/5550763-confronto-na-mare-deixa-pelo-menos-tres-moradores-feridos-diz-ong.html#foto=1 …,['#moradornãoéalvo'],[],120.0,6.0,0.0,
83,-3.0,caveirão aéreo é para matar sem nem olhar pelas costas! canalhas!  https://twitter.com/renatasouzario/status/1009451026867539970 …,[],[],4.0,2.0,0.0,
84,-3.0,o caveirão aéreo tá sobrevoando o complexo da maré nesse momento,[],[],0.0,0.0,0.0,
85,-3.0,"tiros, tiros + tiros, com caveirão aéreo atirando do alto de sua arrogância e incapacidade tática na maré... não é natural, não podemos achar normal. esse é o terror do estado de insegurança pública, a gente vê por aqui! #nossasvidasimportam #favelaresiste #caveirãonão","['#nossasvidasimportam', '#favelaresiste', '#caveirãonão']",[],2.0,1.0,0.0,
86,-3.0,"📌operação na maré  muito tiro na vila do pinheiro. caveirão aéreo na área. 3 blindados no pinheiro, pau quebrando com força na operação da polícia civil. chuva de bala na mare, salsa, vila do pinheiro e vila do joão. pau está quebrando, segundo...  https://www.facebook.com/rioguerracivilurbana/videos/661290804214128/ …",[],[],0.0,0.0,0.0,
87,-3.0,"📌operação na maré  muito tiro na vila do pinheiro. caveirão aéreo na área. 3 blindados no pinheiro, pau quebrando com força na operação da polícia civil. chuva de bala na mare, salsa, vila do pinheiro e vila do joão. pau está quebrando, segundo...  https://www.facebook.com/rioguerracivilurbana/videos/661290604214148/ …",[],[],1.0,0.0,0.0,
88,-3.0,operação não acabou pessoal. caveirão aéreo tá de volta e muitos policiais a pé no miolo da comunidade. vamos nos comunicar!! como está a rua em que você mora?,[],[],12.0,0.0,0.0,
89,-3.0,muito tiro na vila do pinheiro. caveirão aéreo na área largando o aço. como estamos pessoal? muito cuidado.,[],[],34.0,0.0,0.0,
90,-3.0,"moradores fazem alertas nas redes sociais, denunciando que o caveirão aéreo estava sobrevoando baixo na região e atirando em direção a localidade. o clima segue tenso.  http://www.anf.org.br/apos-morte-de-inspetor-moradores-de-acari-sofrem-com-mais-um-dia-de-operacao/ …",[],[],0.0,0.0,0.0,
91,-3.0,"moradores fazem alertas nas redes sociais, denunciando que o caveirão aéreo estava sobrevoando baixo na região e atirando em direção a localidade. o clima segue tenso.  http://www.anf.org.br/35619-2/ ",[],[],0.0,0.0,0.0,
92,-3.0,caveirao aéreo me acordou 😑😑,[],[],0.0,0.0,0.0,
93,-3.0,qual foi do caveirao aéreo sobrevoando a fvl? 🚁,[],[],0.0,0.0,0.0,
94,-3.0,"meu coração despedaça com essaa notícias! caveirao aereo... a evolução pra isso acontece  , impressionante!",[],[],0.0,0.0,0.0,
95,-3.0,agora é vez do caveirao aéreo. é hoje o dia... 🤦🏿‍♂️,[],[],0.0,1.0,0.0,
96,-3.0,"ott-rj informa :  tiros na rocinha, localidades vila verde e cachopa. confronto entre bandidos e o caveirão aéreo. atenção no entorno da comunidade. cuidado na região. #ottrj",['#ottrj'],[],9.0,0.0,0.0,
97,-3.0,caveirão. .. vc da conta  do recado no jogo aéreo,[],[],0.0,0.0,0.0,
98,-3.0,sol maravilhoso para o caveirao aéreo bombardear vagabundo,[],[],0.0,0.0,0.0,
99,-3.0,"ah porque não tem sentido. todas as armas, obrigatoriamente, precisam estar desmuniciadas. o risco do disparo em uma aeronave pressurizada é altíssimo.",[],[],0.0,0.0,0.0,
100,-3.0,isso é contra a lei. é proibido o disparo de aeronave militarizada em região metropolitana,[],[],0.0,0.0,0.0,
101,-3.0,"a velocidade do vento não serve pra identificar  a distância de um disparo, e sim a velocidade do som e o ponto final do trajeto. em outros termos, o barulho estava alto de mais comparado aos outros em relação a distância da aeronave.",[],[],0.0,0.0,0.0,
102,-3.0,"respondendo a primeira pergunta,  fui instrutor de tiro a longa distância dentro e fora do brasil por alguns anos, então de ouvir um disparo mesmo que por vídeo, dá pra identificar de onde veio, e não foi dessa aeronave nesse momento.",[],[],0.0,0.0,0.0,
103,-3.0,"explico: não tem como ouvir o som do disparo. o som que a aeronave emite possui uma frequência maior. então não tem como ouvir. além disso, disparos feitos de uma aeronave são feitos com ela no pairado. nessas operações, ela está em sobrevoo.",[],[],1.0,1.0,0.0,
104,-3.0,"dubai:saudação dos bombeiros causa dano a aeronave.o jato d'água acertou a trava externa da saída de emergência da asa que abriu e provocou o disparo do escorregador inflável,dá pra notar o caminhão da direita perdido desde o começo @avioesemusicas https://tv.uol/17nuy ",[],[],0.0,0.0,0.0,
105,-3.0,"com todo respeito que tenho pela democracia, discutir um assunto desses que no meu ponto de vista,   já é assunto resolvido. senão vejamos, como um disparo de arma de fogo dentro de uma aeronave pode  salvar a vida de alguém? pelo amor de deus, um disparo, uma queda!",[],[],0.0,0.0,0.0,
106,-3.0,"disparo controlado e preciso não tem dano colateral,movimento da aeronave tá padrão e só para deixar claro a chance de ""bala"" perdida num disparo desse 80x menos que um disparo feito do solo,o barulho assusta mas o perigo já está na comunidade andando normalmente!  https://twitter.com/raullsantiago/status/1103994336499433472 …",[],[],1.0,0.0,0.0,
107,-3.0,dúvida... o casos do mh17 que foi abatido na ucrânia. há risco com a implementação dos sistemas s300 e um abatimento de avião comercial por suspeita de ser uma aeronave militar de um país inimigo?  o sistema age de forma independente ou precisa da autorização humana pra disparo?,[],[],0.0,0.0,0.0,
108,-3.0,"pf e mpf: “a queda da aeronave pode ter sido causada, isolada ou cumulativamente, [...]: colisão com pássaros [...]; desorientação espacial por parte dos pilotos; possibilidade de disparo de compensador de profundor; ou pane/travamento de profundor em posições extremas.”.",[],[],0.0,0.0,0.0,
109,-3.0,aeronave da globo é atingida por disparo de guarda-chuva ou furadeira. rsrs..!!  https://www.facebook.com/100002181063455/posts/1914702105279140/ …,[],[],0.0,0.0,0.0,
110,-3.0,"entre as possibilidades: colisão com pássaros, gerando uma atitude radical da aeronave; a desorientação espacial por parte dos pilotos; a possibilidade de disparo de compensador de profundor; ou uma pane/travamento de profundor em posições extremas.",[],[],2.0,5.0,0.0,
111,-3.0,"imaginem um disparo acidental em uma aeronave pressurizada, a 10.000 m de altura, é louco.  https://twitter.com/blogolhonamira/status/980840067425030146 …",[],[],1.0,2.0,0.0,
112,-3.0,sabe o que eu acho muito interessante? é impossível ouvir o ruído de um disparo de uma arma vinda da aeronave. tal qual é impossível ver o projetil. e disso eu entendo... ;) hahahahahahaha,[],[],0.0,1.0,0.0,
113,-3.0,"se considerar um disparo, à esmo, e aquele buraco no bico da aeronave tendo sido causado por um peixe-agulha, fou acidente! o piloto, pescador obssessivo, não viu o projetil e mergulhou pra pescar... e o teori...no lugar errado, na hora errada? caso resolvido!",[],[],0.0,0.0,0.0,
114,-3.0,águia da polícia militar acabou pousar no  local,[],[],0.0,0.0,0.0,
115,-3.0,o águia da polícia rodando o bairro sosksksksksksksksk,[],[],0.0,1.0,0.0,
116,-3.0,capaz da polícia te revistar e achar um remédio de dor de cabeça no teu bolso amigo kkkkkkkkkkkkkkkkk  https://twitter.com/williannetoo/status/1211060393088561153 …,[],[],0.0,1.0,0.0,
117,-3.0,"#sp: uma mulher morre ao ser atropelada por um ônibus no terminal butantã, na zona oeste de são paulo. o acidente aconteceu por volta das 7h30. os bombeiros e o helicóptero águia da polícia militar foram ao local, mas a vítima não resistiu aos ferimentos.",['#sp'],[],1.0,2.0,0.0,
118,-3.0,polícia procura suspeitos de matar idosa na zona rural de águia branca »  https://conexaocapixaba.com.br/policia-procura-suspeitos-de-matar-idosa-na-zona-rural-de-aguia-branca/ … pic.twitter.com/yt4xirttgy,[],['https://pbs.twimg.com/media/EM_kqwtW4AEpYtf.jpg'],0.0,0.0,0.0,
119,-3.0,"eu acho uma falta de criatividade sem tamanho chamar o helicóptero da polícia de águia, ao invés de helicop.",[],[],0.0,0.0,0.0,
120,-3.0,""" helicóptero aguia "", policia tem treinamento pra fazer operação de resgate contra humanos sem abate, acho q cachorros é um pouco mais facil po",[],[],0.0,1.0,0.0,
121,-3.0,"sempre venho aqui retweetar os posts da polícia militar de são paulo e hoje chegou a vez de agradecer pela intervenção da @pmesp junto com águia apreendendo motocicletas que de autores que fizeram baderna a noite inteira aqui em barueri na rua barueri, parabéns a corporação  pic.twitter.com/6vwuyutw42",[],"['https://pbs.twimg.com/media/EMp3H4MWkAAA8sD.jpg', 'https://pbs.twimg.com/media/EMp3IQUXsAI1_pE.jpg']",0.0,1.0,0.0,
122,-3.0,e a águia da polícia que colou aqui na rua de baixo do continental kkkkkkk seis acha que a rua não tá lotado de curioso,[],[],0.0,0.0,0.0,
