"data","disparo","cidade","bairro","cod_bairro","local","outras_regioes","fonte","fonte2","tipo_operacao","media_fonte","media_link","presenca_civil","presenca_pmerj","presenca_uniao"
"11/01/2018",0,"Macaé",,,"Restinga de Jurubatiba",,"GAM",,"Combate a facções",,,,"GAM",
"11/01/2018",0,"Rio de Janeiro","Costa Barros",113,"Complexo da Pedreira",,"SAER",,"ND",,,"SAER",,
"12/01/2018",0,"Rio de Janeiro","Rocinha",154,"Rocinha",,"GAM",,"Combate a facções",,,,"GAM",
"12/01/2018",1,"Rio de Janeiro","Jacaré",51,"Jacarezinho",,"SAER","Facebook","Vingança","G1","https://g1.globo.com/rj/rio-de-janeiro/noticia/delegado-e-encontrado-morto-a-tiros-no-jacarezinho.ghtml","SAER",,
"13/01/2018",0,"Rio de Janeiro","Mangueira",11,,,"GAM",,"Apoio",,,,"GAM",
"14/01/2018",0,"Rio de Janeiro","Mangueira",11,,,"GAM",,"ND",,,,"GAM",
"14/01/2018",1,"Rio de Janeiro","Jacarezinho",155,"Jacarezinho",,"SAER","Fogo Cruzado","Vingança","G1","https://g1.globo.com/rj/rio-de-janeiro/noticia/delegado-e-encontrado-morto-a-tiros-no-jacarezinho.ghtml","SAER",,
"16/01/2018",0,"Rio de Janeiro","Lins de Vasconcelos",62,,,"Twitter",,"Combate a facções","O Dia","https://odia.ig.com.br/_conteudo/2018/01/rio-de-janeiro/5505278-comunidade-do-complexo-do-lins-tem-tiroteio-pelo-segundo-dia-seguido.html",,,
"16/01/2018",0,"Rio de Janeiro","Rocinha",154,"Calha",199,"GAM",,"ND",,,,"GAM",
"16/01/2018",0,"Rio de Janeiro","Tijuca",33,"Morro do Turano",,"GAM",,"ND",,,,"GAM",
"16/01/2018",0,"Rio de Janeiro","Vigário Geral",48,"Dique",,"SAER",,"ND",,,"SAER",,
"16/01/2018",0,"Belford Roxo",,,"Comunidade São Leopoldo",,"Twitter",,"ND",,,,,
"17/01/2018",0,"Rio de Janeiro",,"ND",,,"Twitter",,"ND",,,,,
"24/01/2018",0,"Rio de Janeiro","Cidade de Deus",118,,,"GAM",,"ND",,,,,
"24/01/2018",0,"Rio de Janeiro","Praça Seca",124,"Chacrinha do Mata Alto",,"SAER","Twitter","ND",,,"SAER",,
"24/01/2018",0,"ND",,,,,"Twitter",,"ND",,,,"GAM",
"25/01/2018",0,"Rio de Janeiro","Rocinha",154,,,"GAM",,"ND",,,,"GAM",
